Agent,Wins,Win Percentage,Avg Shots,Min Shots,Max Shots,Std Dev
SmartAgent,48,48.0,15.39,7,25,4.37011441497817
ThomsonSamplingAgent,52,52.0,14.59,7,23,3.757911654097259
