episode,shots
807,43
808,74
809,84
810,51
811,83
812,73
813,84
814,67
815,94
816,83
817,91
818,51
819,73
820,61
821,78
822,91
823,69
824,79
825,86
826,45
827,41
828,73
829,73
830,58
831,62
832,61
833,80
834,45
835,91
836,63
837,79
838,61
839,78
840,60
841,61
842,64
843,60
844,58
845,88
846,43
847,82
848,67
849,52
850,78
851,68
852,59
853,72
854,54
855,52
856,64
857,71
858,70
859,99
860,53
861,100
862,70
863,76
864,69
865,67
866,60
867,74
868,70
869,61
870,84
871,41
872,68
873,84
874,58
875,75
876,44
877,53
878,57
879,97
880,75
881,66
882,98
883,81
884,93
885,65
886,67
887,34
888,63
889,87
890,74
891,99
892,90
893,78
894,74
895,85
896,79
897,48
898,76
899,68
900,67
901,56
902,97
903,66
904,44
905,70
906,62
907,63
908,49
909,52
910,71
911,52
912,72
913,71
914,58
915,78
916,74
917,78
918,69
919,90
920,69
921,61
922,61
923,62
924,60
925,77
926,74
927,57
928,70
929,71
930,77
931,86
932,35
933,90
934,75
935,65
936,57
937,63
938,87
939,94
940,97
941,62
942,82
943,91
944,78
945,46
946,95
947,59
948,80
949,97
950,63
951,62
952,79
953,62
954,89
955,62
956,50
957,81
958,78
959,47
960,75
961,89
962,51
963,66
964,83
965,86
966,52
967,47
968,49
969,73
970,60
971,60
972,88
973,60
974,80
975,67
976,83
977,72
978,98
979,86
980,55
981,60
982,66
983,64
984,61
985,85
986,54
987,52
988,63
989,43
990,86
991,72
992,42
993,60
994,54
995,94
996,93
997,55
998,71
999,91
1000,83
