Agent,Wins,Win Percentage,Avg Shots,Min Shots,Max Shots,Std Dev
SmartAgent,45,45.0,16.17,7,25,4.578329389635481
ThomsonSamplingAgent,55,55.00000000000001,15.24,6,24,3.6745611982929334
