Agent,Wins,Win Percentage,Avg Shots,Min Shots,Max Shots,Std Dev
SmartAgent,55,55.00000000000001,15.83,6,25,4.785509377276362
ThomsonSamplingAgent,45,45.0,15.8,5,23,3.5552777669262356
