Agent,Wins,Win Percentage,Avg Shots,Min Shots,Max Shots,Std Dev
SmartAgent,54,54.0,15.32,6,25,4.571389285545479
ThomsonSamplingAgent,46,46.0,15.91,8,25,3.8186254071327816
