Agent,Wins,Win Percentage,Avg Shots,Min Shots,Max Shots,Std Dev
SmartAgent,53,53.0,15.29,6,25,4.092175460558846
ThomsonSamplingAgent,47,47.0,15.28,7,24,3.4002352859765455
