Agent,Wins,Win Percentage,Avg Shots,Min Shots,Max Shots,Std Dev
SmartAgent,51,51.0,15.86,7,25,4.242687827309475
ThomsonSamplingAgent,49,49.0,15.25,8,22,3.2446109165815242
