Agent,Wins,Win Percentage,Avg Shots,Min Shots,Max Shots,Std Dev
SmartAgent,56,56.00000000000001,14.77,7,25,4.675157751349145
ThomsonSamplingAgent,44,44.0,14.81,6,23,3.635092846131994
